graph_name,time,mcts_time,mdfvs_size
6015_e_101,22.46907592,1,32
4806_e_093,18.28796601,1,32
3758_e_081,19.64442682,1,28
3161_e_077,15.8472898,1,32
5040_e_097,12.29876947,1,41
4868_e_093,14.65468097,1,37
5992_e_101,10.00092506,1,32
6112_e_101,16.45035458,1,35
1627_e_053,13.7833159,1,30
3232_e_077,8.364041567,1,36
2689_e_069,11.90660262,1,37
3073_e_073,18.6576159,1,28
3449_e_079,11.1591146,1,45
1644_e_053,11.88610053,1,31
5230_e_097,14.58696151,1,35
5746_e_099,21.36906171,1,42
6199_e_101,7.196691751,1,32
2240_e_063,18.63415813,1,36
6234_e_101,12.4051168,1,34
5249_e_097,16.10138249,1,36
3272_e_077,9.042115211,1,31
5943_e_101,18.34512615,1,28
4966_e_097,10.42303586,1,37
4949_e_097,9.953635693,1,32
4673_e_093,107.3275673,2,42
5738_e_099,26.52960205,2,39
5909_e_101,77.79407907,2,37
1661_e_053,69.89440346,2,35
1665_e_053,87.78525257,2,39
3586_e_081,32.24402666,2,44
371_e_019,63.54895878,2,44
4913_e_093,35.23487616,2,40
5938_e_101,81.36064243,2,39
4985_e_097,46.35050726,2,44
6126_e_101,55.2851429,2,40
3688_e_081,24.90542579,2,44
3418_e_079,58.50397778,2,35
1419_e_049,54.28850317,2,39
3247_e_077,21.41773105,2,42
3429_e_079,46.55737829,2,34
4861_e_093,37.25743318,2,40
3753_e_081,37.23637247,2,46
5807_e_099,25.90122724,2,35
5927_e_101,17.16459179,2,34
5128_e_097,58.31280899,2,36
5965_e_101,34.88933396,2,45
3488_e_079,25.83307195,2,42
4720_e_093,21.81927752,2,33
4676_e_093,33.60228801,2,32
3647_e_081,37.24560905,2,40
3403_e_079,18.80497956,2,53
5895_e_101,22.5996778,2,40
4768_e_093,40.69721246,2,37
5571_e_099,25.43449473,2,41
4987_e_097,33.06030226,2,38
5599_e_099,25.19570422,2,33
5517_e_099,17.5846622,2,34
1979_e_057,27.00996971,2,69
4581_e_093,15.85769224,2,36
1410_e_049,21.62067962,2,35
6229_e_101,11.0557251,2,38
2719_e_069,19.7177,2,40
2190_e_063,15.65019059,2,50
4597_e_093,14.23518229,2,41
5050_e_097,27.14469123,2,29
2621_e_069,8.715762854,2,48
4892_e_093,7.031140804,2,40
1611_e_053,15.30702901,2,34
